Test_Case,Producer_Rate,Environment,Message_Size,Latency_50,Latency_75,Latency_95,Latency_99,Messages,Bytes,Duration,Throughout
TC01,100,STANDARD,100,3.0,3.155,4.275,5.591,30147,3.0147,308,0.009787987012987012
TC01,100,SCONE,100,2.869,3.01,3.91,5.282,30143,3.0143,309,0.009755016181229773
TC02,100,STANDARD,1024,3.034,3.646,4.452,7.162,30131,30.854143999999998,308,0.1001757922077922
TC02,100,SCONE,1024,3.018,3.515,4.026,6.126,30138,30.861311999999998,308,0.10019906493506493
TC03,100,STANDARD,10240,3.822,4.313,8.615,27.115,30111,308.33664,307,1.0043538762214983
TC03,100,SCONE,10240,3.568,3.797,4.989,20.372,30116,308.38784,308,1.0012592207792208
TC04,100,STANDARD,102400,4.534,5.058,7.57,26.892,30118,3084.0832,308,10.013257142857142
TC04,100,SCONE,102400,4.205,4.668,25.893,232.779,30109,3083.1616,307,10.042871661237784
TC05,1000,STANDARD,100,2.412,2.937,4.627,11.06,300817,30.081699999999998,307,0.09798599348534201
TC05,1000,SCONE,100,2.346,2.873,4.573,10.479,300842,30.0842,308,0.09767597402597403
TC06,1000,STANDARD,1024,3.936,5.048,9.853,25.416,300995,308.21888,308,1.0007106493506495
TC06,1000,SCONE,1024,3.441,4.468,9.44,27.011,300923,308.145152,307,1.0037301368078175
TC07,1000,STANDARD,10240,5.347,6.627,13.261,30.792,301090,3083.1616,308,10.010264935064935
TC07,1000,SCONE,10240,6.495,8.704,50.279,298.589,301297,3085.2812799999997,308,10.017147012987012
TC08,1000,STANDARD,102400,11.913,15.408,44.254,104.707,300888,30810.9312,308,100.03549090909091
TC08,1000,SCONE,102400,10.587,14.718,418.765,651.787,301416,30864.9984,308,100.21103376623377
TC09,10000,STANDARD,100,4.385,5.504,8.709,16.88,3009925,300.9925,308,0.9772483766233766
TC09,10000,SCONE,100,3.673,4.467,6.353,15.734,3010547,301.05469999999997,307,0.9806342019543973
TC10,10000,STANDARD,1024,6.276,7.666,14.216,31.463,3010371,3082.6199039999997,307,10.041107179153093
TC10,10000,SCONE,1024,6.203,7.745,27.815,222.526,3014723,3087.076352,308,10.022975168831168
TC11,10000,STANDARD,10240,12.803,17.843,51.644,104.085,3009968,30822.07232,308,100.07166337662338
TC11,10000,SCONE,10240,10.189,13.814,505.571,819.535,3012152,30844.43648,308,100.14427428571429
TC12,10000,STANDARD,102400,169.892,282.179,3221.967,5112.255,428954,43924.889599999995,310,141.6931922580645
TC12,10000,SCONE,102400,121.334,401.839,3093.263,4150.911,435415,44586.496,310,143.8274064516129
