Test_Case,Time,Messages,Bytes,Env
TC01,308,30147,3014700,STANDARD
TC02,308,30131,30854144,STANDARD
TC03,307,30111,308336640,STANDARD
TC04,308,30118,3084083200,STANDARD
TC05,307,300817,30081700,STANDARD
TC06,308,300995,308218880,STANDARD
TC07,308,301090,3083161600,STANDARD
TC08,308,300888,30810931200,STANDARD
TC09,308,3009925,300992500,STANDARD
TC10,307,3010371,3082619904,STANDARD
TC11,308,3009968,30822072320,STANDARD
TC12,310,428954,43924889600,STANDARD
TC01,309,30143,3014300,SCONE
TC02,308,30138,30861312,SCONE
TC03,308,30116,308387840,SCONE
TC04,307,30109,3083161600,SCONE
TC05,308,300842,30084200,SCONE
TC06,307,300923,308145152,SCONE
TC07,308,301297,3085281280,SCONE
TC08,308,301416,30864998400,SCONE
TC09,307,3010547,301054700,SCONE
TC10,308,3014723,3087076352,SCONE
TC11,308,3012152,30844436480,SCONE
TC12,310,435415,44586496000,SCONE
